@RELATION	text2arff

@ATTRIBUTE	tanimi_nedir	STRING
@ATTRIBUTE	kim_ne_yapar	STRING
@ATTRIBUTE	nasil_yapilir	STRING
@ATTRIBUTE	nicin_yapilir	STRING
@ATTRIBUTE	ne_olunca_yapilir	STRING
@ATTRIBUTE	yapinca_ne_olur	STRING
@ATTRIBUTE	fiziksel_zihinsel	STRING
@ATTRIBUTE	kim_ne_ile_yapilir	STRING
@ATTRIBUTE	ney_kime_yapilir	STRING
@ATTRIBUTE	ney_kimi_yapilir	STRING
@ATTRIBUTE	nerede_yapilir	STRING
@ATTRIBUTE	class	{acele_etmek,aciklamak,acilmak,acmak,affetmek,ag,agac,aglamak,akil_etmek,alay_etmek,alismak,almak,anlamak,anlatmak,anmak,araba_surmek,aramak,artmak,arzu_etmek,asik_olmak,asmak,atamak,ates_etmek,atlamak,atmak,ayaga_kalkmak,ayarlamak,ayirmak,ayrilmak,bagirmak,bagislamak,baglamak,bahsetmek,bakmak,balik_tutmak,banyo_yapmak,barismak,basarmak,baslamak,baslatmak,basmak,begenmek,beklemek,belgelemek,belirlemek,belirtmek,benzemek,bikmak,bildirmek,bilmek,binmek,bir_araya_gelmek,birakmak,bitirmek,bitmek,bolmek,borc_almak,borc_vermek,bozdurmak,bozmak,bulmak,bulunmak,bulusmak,buyumek,cagirmak,cagrida_bulunmak,calismak,calmak,can_almak,can_vermek,cani_sikilmak,canlandirmak,canlanmak,canta,carpismak,carpmak,catal,cati,cavdar,cay,cekmece,cekmek,cekyat,celik,cerceve,cereyan_etmek,cevap_vermek,cevaplandirmak,cevirmek,ceza_vermek,cezalandirmak,cicek,cikarmak,cikartma,cikmak,cikolata,cikrik,cimento,cini,civi,cizmek,cokelek,corap,cozmek,cuval,dagitmak,daire,dal,damga,dans_etmek,dantel,davam_etmek,davet_etmek,davranmak,degerlendirmek,degismek,degistirmek,demek,denemek,ders_calismak,desteklemek,deterjan,devam_etmek,dikkat_etmek,dile_getirmek,dilemek,dinlemek,dinlenmek,dogmak,dogrulamak,dokmek,dokunmak,dolasmak,donmek,dovmek,dua_etmek,durdurmak,durmak,dus_yapmak,dusmek,dusunmek,duvar,duymak,duzenlemek,eglenmek,ele_gecirmek,emekli_olmak,emretmek,endise_etmek,engel_olmak,engellemek,ertelemek,etkilemek,ev_tutmak,evlenme_teklif_etmek,evlenmek,ezberlemek,farketmek,farzetmek,feshetmek,fotokopi_cekmek,fren_yapmak,gec_kalmak,gecikmek,gecirmek,gecmek,gelismek,gelistirmek,gelmek,gerceklesmek,gerceklestirmek,gerekmek,geri_vermek,getirmek,gezmek,girmek,gitmek,giyinmek,giymek,gizlemek,gocmek,gondermek,gormek,gorunmek,gorusmek,gostermek,goturmek,goz_atmak,gozaltina_almak,gozden_gecirmek,gozukmek,grev_yapmak,gulmek,guzellesmek,haber_vermek,harcamak,hatirlamak,hatirlatmak,hazirlamak,hazirlanmak,heyecan_duymak,hissetmek,hosa_gitmek,hoslanmak,icmek,idare_etmek,iddia_etmek,ifade_vermek,ihrac_etmek,ihtiva_etmek,ikaz_etmek,ikna_etmek,ikram_etmek,ilan_etmek,ileri_surmek,ilerlemek,ilgilenmek,imkansiz,imtihan_etmek,imtihana_girmek,imzalamak,inanmak,incelemek,inmek,insaat_yapmak,iptal_etmek,isaret_etmek,isbirligi_yapmak,isgal_etmek,isinmak,isirmak,isitmak,isitmek,ismarlamak,israr_etmek,istemek,istifa_etmek,isyan_etmek,ithal_etmek,itiraz_etmek,itmek,izah_etmek,izin_almak,izin_vermek,izlemek,kabul_etmek,kacirmak,kacmak,kahvalti_etmek,kaldirmak,kalkmak,kalmak,kamp_yapmak,kanunlasmak,kapamak,kapanmak,kar_etmek,karar_vermek,karismak,karsi_cikmak,karsilamak,karsilastirmak,katilmak,kaybetmek,kaybolmak,kaydetmek,kaygilanmak,kayit_yaptirmak,kaynaklanmak,kaza_yapmak,kaza_yaptirmak,kazanmak,kesmek,kinamak,kirada_oturmak,kiralamak,kirmak,kizmak,koklamak,kokmak,kolaylamak,kolaylasmak,kontrol_etmek,konusmak,korkmak,korumak,kosmak,kovmak,koymak,kullanmak,kurmak,kurtarmak,kuskulanmak,kutlamak,kuvvetlenmek,lazim_olmak,mahvetmek,mecbur_olmak,memnun_kalmak,memnun_olmak,merak_etmek,mesgul_olmak,meshur_olmak,meydana_cikmak,meydana_gelmek,mezun_olmak,monte_etmek,mudafaa_etmek,mudahale_etmek,munakasa_etmek,muracaat_etmek,musaade_etmek,neden_olmak,nefret_etmek,nezle_olmak,nitelendirmek,noktalamak,not_almak,not_etmek,not_tutmak,odemek,ogrenmek,ogretmek,okumak,oldurmek,olmak,olmek,olusmak,olusturmak,onaylamak,one_surmek,onem_vermek,onermek,ongormek,onlemek,opmek,ortadan_kaldirmak,ortaya_cikarmak,ortaya_koymak,oturmak,oy_vermek,oynamak,ozetlemek,ozlemek,ozur_dilemek,paniklemek,para_kazanmak,pazarlik_etmek,pisirmek,pisman_olmak,pismek,planlamak,postalamak,rahat_almak,rahatsiz_etmek,rastlamak,razi_olmak,reddetmek,rejim_yapmak,restore_etmek,rica_etmek,riske_girmek,riski_girmek,saglamak,saklamak,saldirmak,sanmak,sapmak,saptamak,sarki_soylemek,sarmak,sart,sasirmak,sasmak,satin_almak,satmak,savasmak,savunmak,saymak,selamlamak,sevinmek,sevmek,seyahat_etmek,seyretmek,siginmak,sikayet_etmek,sikilmak,sinava_girmek,sinirlamak,sohbet_etmek,sokmak,son_vermek,sona_ermek,soylemek,soz_vermek,spor_yapmak,suphe_etmek,surdurmek,surmek,takip_etmek,takmak,tanismak,tanistirmak,tasimak,tavsiye_etmek,teklif_etmek,tekrar_etmek,telefon_etmek,temas_etmek,temas_kurmak,temin_etmek,temizlemek,temsil_etmek,tercih_etmek,tercume_etmek,terfi_etmek,terlemek,tesekkur_etmek,tesir_etmek,teslim_etmek,tesvik_etmek,titremek,toplamak,toplanmak,tutmak,tutuklamak,ucmak,ugramak,ugrasmak,ulasmak,umit_etmek,ummak,unutmak,uretmek,usumek,uyanmak,uyarmak,uygulamak,uymak,uyumak,uzanmak,uzerinde_durmak,uzulmek,var_olmak,varmak,vazgecmek,vermek,vurmak,yagmak,yakalamak,yaklasmak,yakmak,yalanlamak,yanit_vermek,yanitlamak,yanitsiz_birakmak,yanmak,yapmak,yaratmak,yasaklamak,yasaklanmak,yasamak,yaslanmak,yatirmak,yatmak,yaymak,yazmak,yedirmek,yemek_yemek,yenmek,yer_almak,yer_vermek,yerine_getirmek,yetismek,yetistirmek,yikamak,yikmak,yol_acmak,yolculuk_yapmak,yollamak,yonetmek,yorulmak,yukselmek,yurumek,yurutmek,yuzmek,zahmet_etmek,zannetmek,zarar_etmek,ziyan_etmek,ziyaret_etmek,zorlamak,zorluk_cekmek,zorunda_olmak}

@DATA
"davranis","insan","davranis","","bir olay sonrasi","davranis farkliligi","fiziksel  zihinsel","insan","insan","","zorunluktan",degismek
"var olandan uzaklasmak","insan/yenilik","","","","farklilik","zihinsel","insan/duygu dusunce","dusunce/kendisi","esyayi","heryerde",degismek
"ruh hali farklilasmak","insan","farkli davranmak","istemsiz","mutlu mutsuz","farklilasmak","zihinsel","kisiler","hissiyat","durum","ev",degismek
"ayak uydurmak","insan ","zamanla","ayak uydurma","donemsel","degisilir","zihinsel","dusunce","fikirlere","","her kosulda",degismek
"bir kimseyi ya da bir seyi bulundugu yerden baska bir yere almak","insan","calisarak","","bozuk ","karar vermek","fiziksel","","insan.kimseyi","kiyafet degistirmek","her yerde",degistirmek
"biryeden baska yere alma","insan","estetik","daha alimli olmak","daha alimli olmak","mutlu hissedersin","fiziksel zihinsel","insan","insan","","estetik merkezi",degistirmek
"farkli bicimlendirmek","insan/var olani bicimlendirmek","","","degismeye gerek duymak","yeni sekiller","fiziksel","insan/dusunce ile","evi/kendisi","esyayi","evde",degistirmek
"fikir degistirmek","insan","ifade etmek","kararsiz","dusunceli","farkli davranmak","zihinsel","kisiler","dusunce yapisi","fikir","kafe restoran",degistirmek
"yenilemek","insan","danisarak","yenilenmek icin","eskiyince","yenilenmis","fiziksel","esya","esyayla","","evde",degistirmek
"bir seyin soylenmesi","insan","soyleyerek","konusmak","sohbet.muhabbet","soylemek","zihinsel","sozler","insan.seyin","sohbet","sohbet",demek
"soz soylemek","insan","sozle","","","","fiziksel","insan","insan","","her yerde",demek
"soylemek","insan/konusmak","konusarak","","","konusmak","zihinsel","insan/dil","karsidakine","konuyu","heryerde",demek
"soylemek","cocuk bebek insan","sozlu iletmek","iletmek","soyleyecek lafi olmak","bilgilenmek","fiziksel","soz","tanidiklar","belirtmek","okul ev",demek
"soylemek","insan","konusarak","soylem","ihtiyactan","soylenmis","fiziksel","insana","insana","","her kosulda",demek
"bir objeyi kullanilmasi  kiyafet giyilmesi","insan","calisarak","icaat etmek","arastirmak","","zihinsel","","insan.objeyi","alisveris","sorgulama",denemek
"sinamak","insan","fiziksel zihinsel mulakat","basari olcumu","olcum ihtiyaci","basari sonucu","fiziksel","insan","","","sinav",denemek
"deneyden gecirmek","insan/cozmek","tekrar etmek","sonuaca varmak","coklu secenek","caliskan olmak","fiziksel","canli","odeve","testi","laboratuvar",denemek
"ogrenmek icin aksiyon almak","genc cocuk insan","ogrenmeye calismak","tecrubelenmek","zorunluluk","tecrube etmek","fiziksel","soru ornek","problem ornek","tecrube","okul park",denemek
"cabalamak","insan","","tecrube","anlik","tecrube edilinilir","fiziksel","","olaya","","is yerinde",denemek
"belli bir konuyu anlamak Sinav icin calismasi","ogrenci","okumak","basarmak","sinav","kazanmak.gecmek","zihinsel","kitap","ogrenci.bir","proje","kutuphane",ders_calismak
"bilgi ogrenmek","insan","okuyarak izleyerek dinleyerek","ogrenmek","bilgi edinmek basari ","basari","fiziksel","","insan","","sinif",ders_calismak
"ogrenmek","insan/sorun cozmek","okuyarak","","","","zihinsel","ogrenci/kitap","sinava","","ev/okul/sinif",ders_calismak
"egitim almak","ogrenci","test cozmek","ogrenmek","sinav hazirligi","caliskan","fiziksel","ders","ders materyali","eylem","okul ev",ders_calismak
"ogrenmek","insan","dinlemek","egitim","belirli zamanlarda","bilgi sahibi olma ","fiziksel","okul","ders","","okul",ders_calismak
"zor durum oldugunda bir insana yardim etmesi ","insan hayvan","kousarak","moral vermek","sorun olunca","guclendirmek","fiziksel","sozler.kelime.para","insan hayvan.durum","basari","cenaze",desteklemek
"bir tarafi tutmak","insan","yardimda bulunmak","yaninda bulunmak ","","","fiziksel zihinsel","para manevi","insan","","her yerde",desteklemek
"arka cikmak","insan/tesvik","","taraf belirtmek","fikir uyumu","taraf tutmak ","fiziksel","canli/","yandas olmak","partiyi","",desteklemek
"moral saglamak","taraftar","tezahurat yapmak","mutlu etmek","moral kaybi","mutlu memnun","zihinsel","takim","tutulan takim","moral takviyesi","stadyum",desteklemek
"yaninda olmak","insan","hakli bulmak","destek","donemsel","fikir paylasimi","zihinsel","insana","insana","","heryerde ",desteklemek
"temizlik icin kullanilir","market  ev","sabun","toz halinde","","","temzilklerde kullanilir  kirleri temizler","cansiz","camasir","temizlik malzemesi","sabun",deterjan
"bir isi bitirmesi ","insan","durmadan","surdurmek","","","fiziksel zihinsel","","insan.isi","oyun","Yarisma",devam_etmek
"surdurebilmek","insan","fiziksel","","","surdurmus","fiziksel","insan","insan","sevgiliye","her yerde  otobanda",devam_etmek
"surdurmek","insan/surdurmek","mevcut ise devam","","","surdurulebilir olmak ","zihinsel","","","ders calismayi","",devam_etmek
"surekliligini saglamak","koordinator","aksakliklari gidermek","isleri yolunda goturmek","aksamak","akicilik","fiziksel","ekip","proje","is akisi","isyeri ofis",devam_etmek
"sonuca ilerlemek","insan","anlik","sonuca varmak icin","istenildiginde","ilerlenmis","fiziksel","insana","ekiple","","ofis",devam_etmek
"bir objeyi bakmak","insan hayvan","bakarak","tedbirli olmak ","olay.tehlike","bakmak","fiziksel zihinsel","beyin.goz","insan hayvan.objeyi","goz.duyu","yol",dikkat_etmek
"odaklanmak","insan","odaklanarak","","alkol","basari","fiziksel","gozle","nesneye insan","","her yerde",dikkat_etmek
"uyanik davranmak","insaan/temkinli olmak","temkinli olarak","duzen","odaklaninca","sikintisiz","fiziksel","canli/","duruma","","",dikkat_etmek
"farkinda olmak","insan cocuk","kontrol etmek","kazaya yol acmamak","tehlike sezince","guvende olmak","zihinsel","nesne etraf","tehlikeye","farkindalik","sokak",dikkat_etmek
"odaklanmak","insan","duruma gore","ulasim","duzen","duzen saglanir","fiziksel","nesneye","cevreye","","trafikte",dikkat_etmek
"bir kisinin adini soylemesi","insan","soyleyerek","anlatmak","kavga edince","","zihinsel","dil ","insan.kisinin","sohbet","her yerde",dile_getirmek
"bir konu hakkinda dusunceni belirtmek","insan","konusarak","dusunceni belirtmek","bir olay sonrasi","cozum","fiziksel","agiz","insan","","her yerde",dile_getirmek
"soylemek","insan/konusmak","konusarak","durum icin","konuyu cozmek","sohbet ortami","zihinsel","insan/soylemek","soylem","sorunu","yasam alaninda",dile_getirmek
"dusunceyi soylemek","insan kisi","sozlu veya yazili iletmek","belirtmek","ifade etme gereksinimi","belirtmis olmak","zihinsel","dost arkadas","dusunce","soylem","kafe restoran",dile_getirmek
"soylemek","insan","soylereyerek","anlasilmak icin","sikilinca","dikkate alinir ","fiziksel","insana","insana","","heryerde",dile_getirmek
"bir istegin gerceklesmesi icin dua etmek","insan","icinden","istemek","eksiklik hissetmek","umutlanmak","zihinsel","","Yaratici","","",dilemek
"birseyin olmasini istemk","insan","dusunerek","isttedginin olmasi icin","her zaman","super olur","zihinsel","beyin","","","herhangibir yerde",dilemek
"bir istekte bulunmak","insan","konusarak","yardim etmek","kacirmak  yetismemek","mutlu olmak","zihinsel","","insan  hayvan","","",dilemek
"yapilmasini istemek","","istemek","","isteyince  kotu bir sey olunca","","fiziksel","","Allah","","",dilemek
"konusan birine kulak vermek","insan hayvan","odaklanma","anlamak","anlasilmamak","duymak anlamak","fiziksel","insan hayvan","insan hayvan","ses","",dinlemek
"kulak verme  duyma","insan","sesleri anlayarak","ogrenmek icin","","","zihinsel","kulak ile","anlatana","olayi","her yerde",dinlemek
"duymak  isitmek","insan  ogrenci  hayvan","duymak","anlamak","ogrenmek","anlamak  etkilenmek","zihinsel","","ogrenci  insan  hayvan","problem  konu","sinif  ev   ofis",dinlemek
"kulak vermek","","","","","anlamak","zihinsel","","","","",dinlemek
"vucut hareketini en aza indirmek","insan hayvan","oturmak uzanmak","enerji toplamak","yorulmak","rahatlamak","fiziksel","","","","ev ofis",dinlenmek
"hareketsiz kalmak","insan","yatarak","rahatlamak","yorulmak","rahatlamak","fiziksel","","","","ev",dinlenmek
"mola vermek","insan  hayvan","oturmak  uzanmak","enerji depolamak","yorulmak","rahatlamak","fiziksel  zihinsel","yatak  koltuk","insan  hayvan","","ev  bahce",dinlenmek
"ara vermek","insan","yatmak  uzanmak","","yorulmak","dinc olmak","","","","","",dinlenmek
"canli dunyaya gelmek","insan hayvan","","yasamak","hamile kalmak","yeni birey uremek","fiziksel","","","","hastane",dogmak
"dunyaya gelmek","insan hayvan","","","","yasamak","fiziksel","anne","","cocuk","hastane",dogmak
"var olmak","insan  hayvan","","uremek","istemek","soy devam ettirmek","fiziksel","kadin  disi","insan  hayvan","","hastane  veteriner",dogmak
"dunyaya gelmek","insan","","","","yasamak","fiziksel","","","","",dogmak
"bir bilgiyi onaylamak","insan","arastirarak","ogrenmek","belirsizlik","kanitlamak","fiziksel","insan","insan","bilgi","ev okul",dogrulamak
"onaylamak","insanlar","konusarak yazarak","ayni fikirde oldugunu belirtmek icin","ayni fikirde oldugunda","hem fikir olunur","zihinsel","soz ile  kalem ile","insanlara","dusunceler","heryerde",dogrulamak
"onaylamak","insan  bilgisayar","konusmak  yazmak","emin olmak","muallakta kalmak  ","cozume ulasmak","zihinsel","teknoloji  insan","insan  bilgisayar","konu  problem  dogru  yanlis","bilgisayar  ofis  ev",dogrulamak
"","insan  sistem","onaylamak","","ihtiyac olunca","kanitlamak","","","","","",dogrulamak
"bir siviyi akitmak","insan","sivi kabini bosaltmak","siviyi bosaltmak","","","fiziksel","el","","","ev ofis",dokmek
"bir seyin sacilmasi","insan hayvan","","","takilmak","toplamak gerekir","fiziksel","","yere","malzeme","ev",dokmek
"bir seyi bosaltmak","insan  hayvan","dikkatsiz olmak","tasmak","sinirlenmek","kotu hissetmek","fiziksel","organ","nesne  esya","","ev  bahce  ofis  sinif",dokmek
"baska bir yere aktarmak","insan","","","","","fiziksel","","","","",dokmek
"bir yuzeye temas etmek","insan hayvan","temas etmek","yuzeyi tanimak","","yuzey tanimak","fiziksel","el ayak","yuzey","","",dokunmak
"temasta bulunmak","tum canlilar","temas ederek","dikkatini cekmek sevmek icin","bakmasini istediginde sevgi gostermek istediginde","dikkatini cekersin sevdigini gosterirsin","fiziksel","el ile","tum canlilara  esyalara","","heryerde",dokunmak
"hissetmek","insan  hayvan","hareket etmek","uyarmak  sevmek","kizmak  hoslanmak  ","etkilemek  etkilenmek","fiziksel","el","insan  hayvan","","ic mekan  dis mekan",dokunmak
"hissetmek","insan  hayvan","temas etmek","","","anlamak  hissetmek","fiziksel","","","","",dokunmak
"kisa sureli yuruyus yapmak","insan hayvan","yuruyerek","gezmek","sikilmak","rahatlamak","fiziksel","","","","sokak park",dolasmak
"belirsizce yurumek","insan","fazlaca yuruyerek","hava almak icin","sikilinca","rahat","fiziksel","bacak ile","","etrafi","bos ortam",dolasmak
"bir yerde gezinmek","insan  hayvan","efor sarf etmek","dinlenmek  arastirmak","yorulmak  kesfetmek","iyi hissetmek","fiziksel","araba  ucak  gemi","mekan","problem  seyahat","ic mekan  dis mekan",dolasmak
"gezinmek","insan","gezmek","","sikilmak","","fiziksel","","","","",dolasmak
"yon degistirmek","insan hayvan","","farkli yone gitmek","yanlis yone gitmek","dogru yone gitmek","fiziksel","yurumek araba","","","sokak park yol",donmek
"yonunu cevirmek","tum canlilar","basini vucudunu cevirerek","baska yone gitmek istediginde","","farkli yone ilerlenir","fiziksel","","","","heryerde",donmek
"bir seyin etrafinda dolasmak","araba  insan  hayvan  teknolojik alet","etrafinda dolasmak","ulasmak ","yanlis yola girmek","hedefe ulasmak","fiziksel","beden  tekerlek  komut","insan  bina","","kendi etrafinda",donmek
"geri gelmek  kendi etrafinda hareket etmek","insan  esya","","","","geri gelmek","fiziksel","","","","",donmek
"birine vurmak","insan","vurarak","zarar vermek","sinirlenmek","sakinlesmek","fiziksel","el ayak","insan","","ev okul sokak",dovmek
"yumruk atmak","canli","sertce vurarak","sinirlenince","sakin olamayayinca","sakin","fiziksel","el sopa","kotu insana","insani","gizli ortamda",dovmek
"bir seye sinirlendiginde verilen tepki","insan  hayvan","vurmak","kizginligi atmak","sinirlenmek","sakinlesmek","fiziksel","sopa  el  ayak","insan  hayvan  nesne","","ic mekan  dis mekan",dovmek
"vurmak","insan","vurmak","","","","fiziksel","","","","",dovmek
"Yaraticidan istekte bulunmak","insan","elleri yukari yonlu acarak","istemek","eksiklik hissetmek","umutlanmak","zihinsel","","Yaratici","","",dua_etmek
"isteklerin icin yaraticidan yardim talep etmek  ","insan","avuc acarak","istemek","","huzur","zihinsel","kalp","yaratici","","ev",dua_etmek
"bir seyin manevi olarak istenmesi","insan","namaz kilmak","istemek","huzursuz olmak  sukretmek","huzura ermek","fiziksel  zihinsel","Allah","insan  saglik  para  huzur","","Cami  ev  mescid",dua_etmek
"dilemek","insan","dilemek  istemek","","","","fiziksel","","Allah","","",dua_etmek
"hareket halindeki nesnenin hareketini kesmek","insan","eliyle tutarak","hareketi engellemek","haraket etmek","hareketi engellemek","fiziksel","","nesne","","",durdurmak
"devam edeni sonlandirma","herkes","seslenerek","yeterli duzeydeyken","durmasi lazimsa","durur","fiziksel","bagirarak","gelene","durmasi gerekeni","okulda",durdurmak
"bir seye engel olmak","insan  hayvan","set cekmek","ilerletmemek","uyarmak","engel olmak","fiziksel  zihinsel","beden","insan  hayvan  arac","","ic mekan  dis mekan",durdurmak
"","insan","","","","","fiziksel","","","","",durdurmak
"hareketsiz halde beklemek","insan hayvan","beklemek","hareket etmemek","yorulmak","dinlenmek","fiziksel","","insan","","ev okul sokak",durmak
"Hizi sifira indirmek.","araba","frene basmak","hizi sifirlamak","zorunda","hiz sifir","Fiziksel","balata","araba","","yol",durmak
"ilerlemeyi sonlandirmak","insan  hayvan","hareketsiz kalmak","ilerlememek "," dusunmek","dinlenmek","fiziksel","beden","tehlike","","ic mekan  dis mekan",durmak
"kimildamamak","insan  esya","beklemek","","","kalmak","fiziksel","","","","",durmak
"vucudu temizlemek","insan","su ile yikanmak","temizlenmek","kirlenmek","temzilenmek","fiziksel","","","","ev otel",dus_yapmak
"yikanmak","insan","dus basligi ile","temizlenmek","kirlenince","temzlenme","fiziksel","su ile","kendine","insani","banyoda",dus_yapmak
"su ve sabun kullanarak kirin akitilmasi","insan  hayvan","ilik bir suyla yikanmak","rahatlamak","kirlenmek","temizlenmek","fiziksel","beden","","","banyo",dus_yapmak
"temizlenmek","insan","yikanmak","","","temizlenmek","fiziksel","","","","",dus_yapmak
"yuksekten kontrolsuz inmek","insan hayvan","denge kaybi","","denge kaybi","yaralanmak","fiziksel","","yuzey","","sokak park yol",dusmek
"oldugu yerden dusmek","tum canlilar","Ayak kaymasi sonucu yere kapaklanarak","","takilmak","yaralanmak","fiziksel","","","","kotu zemin",dusmek
"yukaridan asagiya dogru savrulmak","insan  hayvan  esya","dikkatsizce hareket etmek","","dikkat etmemek","acimak","fizilsel","beden  nesne","zemin  cukur","","yuksekllik",dusmek
"yikilmak  asagiya dogru hareket","insan","","","","azalmak  incinmek  acimak","fiziksel","","","","",dusmek
"bir konu hakkinda zihinden muhakeme yapmak","insan","zihinden","fikir uretmek","fikir sunulmak","karar vermek","zihinsel","","","","beyin",dusunmek
"bir sonucu bulmak icin bilgileri incelemek","insan","","anlamak","konu","cozum bulmak","zihinsel","beyin","konu","sonucu","ev",dusunmek
"zihnin icinde bulunan fikirler","insan","hayal kurmak","cozmek","kararsiz kalmak","sonuca ulasmak","zihinsel","beyin","insan  karar","gelecek  gecmis","ic mekan  dis mekan",dusunmek
"aklindan gecirmek","insan","","","","anlamak  farketmek","","","","","",dusunmek
"evin ve ofisin odalarini ayirmaya rarar","ev  ofis","tugladan yapilir","dayanikli ve ev buyuklugunde","","","odalari ayirir","cansiz","","tugla  cimento","cimento",duvar
"bir sesi isitmek","insan hayvan","kulakla","","ses isitmek","anlamak","fiziksel","","","","",duymak
"kulaklarin isitme eylemi","tum canlilar","Dinleyerek","anlayabilmek icin","seslenmek","anlamak","fiziksel","kulak","sesli seyler","sesli seyler","her yer",duymak
"ses olarak algilamak","insan  hayvan","fisildamak","sesin ne anlama geldigini bilmek","bir sey soylemek","algilamak","zihinsel","kulak","insan","","ic mekan  dis mekan",duymak
"isitmek","insan","","","","anlamak","zihinsel","","","","",duymak
"bozuk bir yaziyi onarmak","insan","inceleyerek","dogru bilgi uretmek","bozuk kelime bozuk cumle","dogru kelime dogru cumle","fiziksel","yazi","","yazi","makale dergi",duzenlemek
"Organize etmek  toparlamak","insanlar","Organize ederek","toplamak","dagitmak","toplamak","fiziksel","eller  uzuvlar","","obje yerler","daginik yer",duzenlemek
"karmasikligi anlasilir hale getirmek","insan","bedensel hareket ederek","hizalamak","daginik kalmak","karmasiligi gidermek","fiziksel","beden","kutu  dolap","esya   dosya","ic mekan  dis mekan",duzenlemek
"hazir duruma getirmek","insan","toparlamak","","","","fiziksel","","","","",duzenlemek
"Mutlu olmak icin yapilan bir eylem","insan","dans etmek","mutlu olmak","sikilmak","mutlu olmak","fiziksel","insan","","","kafe bar",eglenmek
"Bir aktivite sonucu mutlu olmak","insanlar","Mutlu hissederek","iyi hissetmek","sikilmak","mutlui olmak","zihinsel","zihin","","","sinema",eglenmek
"keyif almak","insan","hobilere vakit ayirmak","motive olmak","sikilmak  mutsuz olmak","mutlu olmak","fiziksel","arkadas  aile","insan","","ic mekan  dis mekan",eglenmek
"neseli zaman gecirmek","insan","","","","neselenmek","fiziksel","","","","",eglenmek
"Baskasina ait verilere sahip olmak","insan","belgeye erismek","bilgi almak","bilgiye ulasilmamak","bilgiye ulasmak","fiziksel","","","belge","",ele_gecirmek
"yakalamak","dusman insan","","sahip olmak","","","zihinsel","","ulke","","",ele_gecirmek
"bir seye sahip olmak","insan  hayvan","planlamak","intikam  eksiklik duymak","ihtiyac duymak","sahip olmak","fiziksel","dusunce","insan","esya  fikir","ic mekan  dis mekan",ele_gecirmek
"sahip olmak","insan","","","","sahip olmak","fiziksel","","","","",ele_gecirmek
"uzun yillar yapilan calismadan sonra is birakmak","insan","is birakmak","yaslilik","yaslanmak kaza gecirmek","dinlenmek","fiziksel","","","insan","isyeri",emekli_olmak
"gecmis calismalar nedeniyle calismayi birakmak","insan","cok calisarak","yatmak","yaslaninca","maas almak","zihinsel","","","","",emekli_olmak
"calisma hayatinin tamamlanmasi","insan","calismak","dinlenmek","isini tamamlamak","rahat olmak","fiziksel","is hayati","is","","ofis  calisma ortami",emekli_olmak
"isten ayrilmak","insan","","","","dinlenmek","","","","","",emekli_olmak
"birine bir isi yapmasi icin komut vermek","insan","komut vermek","is yaptirmak","yapilmasi gereken is oldugunda","uygulanmak","fiziksel","insan","insan","is","isyeri askeriye",emretmek
"dediginin hemen olmasi durumu","sirket sahibi","soyleyerek","para","is","isi tamamlamis","fiziksel","bagirti ile","isciye","isi","sirket",emretmek
"bir seyi zorunlu tutmak","insan","soz  yazi","istedigini yaptirmak","ihtiyac duymak","tatmin olmak","fiziksel","beden","insan  teknolojik aletler  hayvan","","ofis  ev  ",emretmek
"buyurmak","insan","","","","","fiziksel","","","","",emretmek
"herhangi bir konuda huzursuz hissetmek","insan","tedirgin olmak","","eksik bilgi","korku tedirginlik","zihinsel","","","olay","",endise_etmek
"Kaygilanmak","insanlar","Bir olay hakkinda kaygi duyarak","merak etmek","kaygilanmak","uzulmek","zihinsel","zihin","kaygilara","kaygilar","",endise_etmek
"bir durum karsisinda uzulmek","insan  hayvan","kuskulanmak","kotu bir seyin olmak hissi","korkmak  stres olmak","anksiyeteyi tetiklemek","zihinsel","dusunce","insan  hayvan","gelecek  problem","ofis  ev  hastane",endise_etmek
"","insan","","","","tedirgin olmak","zihinsel","","","","",endise_etmek
"yapilacak bir eyleme karsi koymak","insan","elle mudahale etmek","yanlisi engellemek","yanlis hareket","eylemi durdurmak","fiziksel","","insan","","",engel_olmak
"Bir seyin gerceklesmemesi icin caba gostermek","insanlar","Bir seyin gerceklesmesini onleyerek","durdurmak","hareket etmek","durdurmak","fiziksel","zihin ve nesne","obje insan","","",engel_olmak
"bir isin gerceklesmesini onlemek","insan","hareket etmek","istememek","","istegine ulasmak","fiziksel","beden","is","problem","ic mekan  dis mekan",engel_olmak
"onlemek","insan","","","","","","","","","",engel_olmak
"yapilacak bir eyleme karsi koymak","insan","elle mudahale etmek","yanlisi engellemek","yanlis hareket","eylemi durdurmak","fiziksel","","insan","","",engellemek
"olmasini durdurmak","insan","gitmesin diye dur demek","","","mani olunur","fiziksel","","","","",engellemek
"bir seyin yapilmasina engel olmak","insan  hayvan","set cekmek","konusmamak","rahatsiz olmak","huzura ermek","zihinsel","beden","insan","","telefon  zihin",engellemek
"onlemek","insan","","","","","fiziksel","","","","",engellemek
"yapilmasi gereken isi zamaninda yapmamak","insan","baska zamana planlamak","yetersiz zaman","yetersiz zaman","","zihinsel","","","is eylem","",ertelemek
"bir kisinin bir isi yapmamasini onlemek","insan","","","","","fiziksel","","","yanlisi","",ertelemek
