@RELATION	text2arff

@ATTRIBUTE	nerede_bulunur	STRING
@ATTRIBUTE	canli_cansiz	STRING
@ATTRIBUTE	ust_kavrami_nedir	STRING
@ATTRIBUTE	yaninda_neler_bulunur	STRING
@ATTRIBUTE	icinde_neler_bulunur	STRING
@ATTRIBUTE	hammaddesi_nedir	STRING
@ATTRIBUTE	ne_ise_yarar	STRING
@ATTRIBUTE	kim_kullanir	STRING
@ATTRIBUTE	sifatlari	STRING
@ATTRIBUTE	sekli_nasil	STRING
@ATTRIBUTE	hacmi	STRING
@ATTRIBUTE	agirlik	STRING
@ATTRIBUTE	rengi	STRING
@ATTRIBUTE	kim_ne_yapar	STRING
@ATTRIBUTE	kim_ne_ile_yapilir	STRING
@ATTRIBUTE	nasil_yapilir	STRING
@ATTRIBUTE	ney_kime_yapilir	STRING
@ATTRIBUTE	ney_kimi_yapilir	STRING
@ATTRIBUTE	nerede_yapilir	STRING
@ATTRIBUTE	fiziksel_zihinsel	STRING
@ATTRIBUTE	ne_olunca_yapilir	STRING
@ATTRIBUTE	yapinca_ne_olur	STRING
@ATTRIBUTE	nicin_yapilir	STRING
@ATTRIBUTE	class	{ag,agac,akbil,akordeon,akumulator,alci,altin,ambalaj,anahtar,antibiyotik,apartman,araba,arac,ari,arma,armut,arpa,artik,asansor,asetat,asfalt,asi,asit,aski,astar,atac,atki,atlet,atom,av,avize,ayak,ayakkabi,aygitlar,ayirac,ayna,azot,bacak,baharat,bakir,bakla,bal,balik,balsam,banknot,bant,banyo,barometre,baslik,basortusu,baston,batarya,benzin,beton,bez,biblo,bicak,bidon,bilet,bilgisayar,bina,bira,bisiklet,bluz,bor,bornoz,boru,boya,boynuz,brosur,bugday,buhar,bulasik,buldozer,bulgur,buro,burun,buz,buzdolabi,caki,cakmak,calgi,cam,camasir,canli,canta,catal,cati,cavdar,cay,cd,ceket,cekmece,cekyat,celik,cenaze,cep_telefonu,cephane,cerceve,cetvel,cevcere,ceviz,cicek,ciger,cihaz,cikartma,cikolata,cikrik,cila,cilt,cimento,cini,cinko,civa,civata,civi,cokelek,corap,cumle,cuval,daire,dal,damga,dantel,degirmen,demir,deniz,dergi,deri,deterjan,diken,dil,disci,dolap,domates,domuz,dugme,dunya,duvar,ecza,el,elbise,eldiven,elektrik,elektrik_anahtari,elektrik_sigortasi,elma,elmas,enzim,esarp,esya,et,etek,etiket,ev,fanila,fare,fayans,fermuar,fernuar,fici,fildisi,film,filtre,firin,fisek,fistik,florasan,fosil,fotograf,fotokopi,fren,gaz,gazete,gemi,giysi,gokdelen,gomlek,gomlem,goz,gozlem,gozluk,gubre,gumus,halat,halilar,hamur,harclar,harf,harita,hava,havlu,havuc,havuz,hayvan,heykel,hidrojen,hindistan,hoparlor,hormon,hortum,hucre,hurda,hurma,icecek,igne,ilac,inci,insaat,internet,ip,ipek,iplik,irmik,iskemle,islak_mendil,ispirto,izgara,jenerator,kablo,kabuk,kadife,kagit,kahve,kakao,kalay,kalem,kalemtras,kalorifer,kalp,kalsiyum,kamci,kamera,kamis,kamyon,kantar,kap,kapi,karabiber,karanfil,karbon,karin,karton,kartpostal,kartvizit,kase,kasik,katir,kaucuk,kavun,kayak,kayis,kazak,kazan,kece,keci,kemik,kepenk,kerpeten,kibrit,kil,kilit,kilot,kirec,kiremit,kitap,kitap_ayraci,klasor,klavye,klima,kol,kol_saati,koltuk,komur,kondansator,kornis,koyun,kravat,krom,kukurt,kul,kulak,kum,kumas,kumes,kurdelec,kure,kurk,kursun,kus,kutu,lahana,lamba,lastik,lavabo,lehim,lif,likor,lokomotif,losyon,macun,maden,magnezyum,makas,makine,mandal,manken,mantar,manto,margarin,marmelat,marul,masa,maske,mayo,mendil,merdane,mermer,mermi,metal,meyve,miknatis,mikrop,mikroskop,mineral,misir,mobilya,monitor,mont,motor,motorsiklet,mozaik,mum,murekkep,musamba,musluk,muz,muzik,nisasta,not_defteri,oda_spreyi,odun,oksijen,okuz,olta,omuz,org,orgu,ortu,ot,otobus,otomat,oyuncak,pacavra,palet,pamuk,pancar,pano,pantalon,pantolon,papyon,para,parasut,parfum,parke,parmak,parmaklik,patates,patlayici,pecete,pencere,perde,peruk,petrol,peynir,pijama,pil,pipo,pirasa,pirinc,piyano,plaka,plastik,pompa,porselen,poster,profil,projeksiyon,pudra,pul,puro,puro2,,pusula,radar,radyo,raki,ray,recel,resim,rezistans,romork,saat,sabun,sac,sakal,sakatat,sakiz,salatalik,salgam,saman,sandalye,sapka,sarap,savas,sayac,sebze,sehpa,seker,sekerleme,seluloz,semsiye,sepet,seramik,serum,sicim,sigara,sira,sirke,sirt_cantasi,site,siva,siyanur,soba,sofben,sogan,somun,somya,sos,sosis,soya,sozcuk,sozluk,spor,su,su_isiticisi,sunger,supurge,surahi,susleme,sut,tabak,tabanca,tabela,tablo,tahil,tahta,takvim,talas,tank,tarak,tarcin,tas,tavuk,tayt,tebesir,tekne,tel,televizyon,telsiz,tencere,terazi,tereyagi,terlik,termometre,testere,testi,tirmik,tirnak,tohum,toka,toplanti_masasi,toprak,torba,tornavida,toz,traktor,tugla,tul,tup,tutun,tuval,tuy,tuz,tuzluk,un,uzaktan_kumanda,uzum,vagon,vanilya,varil,vazo,vernik,vida,video,vinc,vitamin,yag,yakit,yangin,yapi,yapistirici,yaprak,yastik,yatak,yay,yayin,yazici,yelek,yiyecek,yogurt,yol,yonca,yosun,yumurta,yun,yuzuk,zamk,zehir,zeytinyagi,zimba,zimpara,zincir}

@DATA
"ev  otel","cansiz","oda","klozet  evye","klozet  dusakabin  evye","","insanlarin temiz olmalarini saglar","insanlar","kucuk  buyuk","kare  dikdortgen","75 m3","1000 kg","gri  mavi  beyaz","","","","","","","","","","",banyo
"laboratuvar","cansiz","olcu aleti","cetvel  metre  debiolcer  su terazisi","civa","civa","atmosfer basinci olcmek","teknisyen  tekniker  muhendis  arastirmaci","saglam  bozuk","yuvarlak","20 cm3","2 kg","beyaz","","","","","","","","","","",barometre
"canta  laboratuvar","cansiz","alet","","ibre  panel","civa  cam","havayi tahmin etmek  basinc olcmek","dagci  denizci","civali","yuvarlak","15 cm3","100 gr","","","","","","","","","","","",barometre
"","cansiz","esya","","","","basinc olcmek","insan","","","","","beyaz","","","","","","","","","","",barometre
"alet","cansiz","acik alan","","sayac imlec","demir","hava basincini olcmek","herkes","hassas","yuvarlak","2 cm3","100 gr","gri","","","","","","","","","","",barometre
"bilim malzemesi satan dukkan","cansiz","olcu aleti","hava","civa","civa  kum","hava basincini olcer","bilim insanlari","hassas","cubuk","100 cm3","300 gr","kirmizi","","","","","","","","","","",barometre
"bas  tekerlik  ust giyisi  kagit  kitab","cansiz","unvan","sac  kelime","sac  harf","tekstil","okuyanlarin  esas dusunceye dikkatini cekmeye yarar.","herkes","","","","","","","","","","","","","","","",baslik
"metinler gazete","cansiz","metin","yazilar","kelimeler","harfler","konu icerigini anlatir","yazarlar","","","","","","","","","","","","","","","",baslik
"kitaplar","cansiz","yazi","kitap/aciklayici metin/yazi","konu aciklamasi","","konu hakkinda yaraticilik","yazar","","","","","","","","","","","","","","","",baslik
"magaza","cansiz","kiyafet","sal","desen","iplik","ortunmek","herkes","genis","kafa formunda","","","mavi","","","","","","","","","","",baslik
"yazilarda","cansiz","yazi","noktalama isaretleri","dusunceler","","yazilarin iceriklerini anlamaya","yazar","anlasilir","","","","renkli","","","","","","","","","","",baslik
"kafa","cansiz","ortu  giysi","sac","sac  ip. İgne","pamuk  ipek","dis etkenlerden korumak  ortunmeyi saglamak  taninmamak icin kullanilan","kadinlar","uzn  yumusak","dikdortgen  kare","140cm3","2.975gr","her renkten yapilabilir","","","","","","","","","","",basortusu
"basta","cansiz","","tekstil","kumas pamuk","iplik","basi korur","insanlar","","dikdortgen","","","tum renkler","","","","","","","","","","",basortusu
"insan bedeni","cansiz","ortu","bone","","kumas","kapanmaya","insan","eskimis/yeni","duz","","","renkli","","","","","","","","","","",basortusu
"magaza","cansiz","kiyafet","sal","desen","iplik","ortunmek","bayanlar","kisa","kafa formunda","","","beyaz","","","","","","","","","","",basortusu
"dolap","cansiz","kumas","sal","iplik","pamuk","ortunmek","insanlar","desenli","kare","","10g","renkli","","","","","","","","","","",basortusu
"","canli/cansiz","ust kavrami nedir?","yaninda neler bulunur?","icinde neler bulunur?","hammaddesi nedir?","ne ise yarar","kim kullanir","sifatlari","sekli nasil?","hacmi cm3/m3","agirlik gr/kg","rengi","","","","","","","","","","",baston
"insan elinde","cansiz","tahta","","tahta","tahta","yurume zorlugu ceken insanlara yardimci olur","insan","kucuk  buyuk  kalin  ince","ince  uzun","50 cm3","1 kg","kahverengi","","","","","","","","","","",baston
"ev  magaza","cansiz","arac","","","agac  metal","guc almak  dayanmak","yasli","basli","","15 cm3","150 gr","kahverengi  siyah","","","","","","","","","","",baston
"","cansiz","esya","","","agac","denge saglmak","yasli  engelli","","","","","kahverengi","","","","","","","","","","",baston
"dolap","cansiz","alet","cekecek","baslik","tahta","yuruken destek almak","yaslilar","sert","silindir","30 cm3","5 kg","kahverengi","","","","","","","","","","",baston
"bastoncu","cansiz","yuruyus destegi","yasli insan","tahta","kereste","yasli insanlarin yurumelerine yardimci olur","yaslilar","uzun  eski","ince  uzun","3 m3","2 kg","tahta rengi","","","","","","","","","","",baston
"alet  telefon  bilgisayar  savas gemi","cansiz","Pil","kablo  cip  ekran","manganez  titanyum  aluminyum  demir  nikel  kobalt  zirkonyum  vanadyum  krom bilesikleri"," lityum (lityum karbonat) bazli olmakla birlikte; agirlikli olarak kobalt  manganez  nikel  aluminyum ve grafit","elektrik enerjisini kimyasal enerji olarak depo eden  istenildiginde bunu elektrik enerjisi olarak veren cihaz  akim toplar  biriktirec.","herkes","sert  uzun  ince  kalin","silindir  dikdortgen","","","her renkten yapilabilir","","","","","","","","","","",batarya
"elektronik aletlerde","cansiz","bilgisayar televizyon","elektronik devreler","bakir","","enerji verir","insanlar","","","","degisken","siyah","","","","","","","","","","",batarya
"telefon","cansiz","alet","anakart","kablo","yalitkan maddeler","enerji","arac","bozuk","dikdortgen","","150gr","siyah/beyaz..vb","","","","","","","","","","",batarya
"telefon","cansiz","fosil yakit","fis","kimyasal madde","komur","elektrikli alet kullanmak","herkes","dolu","kare dikdortgen","10 m3","300 gr","siyah","","","","","","","","","","",batarya
"bilgisayarda","cansiz","elektronik","sarj aleti","komur","lityum","sarj etmek","herkes","guclu  dayanikli","silindi","","5 gr","kahverengi","","","","","","","","","","",batarya
"petrol","cansiz","akar yakit","akaryakit istasyonu","parafinik  etilenik  naftanik ve benzenik hidrokarbonlar","petrol","yakit  cozucu","herkes","sivi  kokulu  renksiz","sivi","67","0.65","renksiz","","","","","","","","","","",benzin
"arac","cansiz","petrol","","sivi","petrol","yakit verir","insanlar","","akiskan","","","koyu sari","","","","","","","","","","",benzin
"araba","cansiz","yakit","gaz","hidrokarbon","petrol","arac enerjisi","arac","kursunsuz","sivi","100m3","","seffaf","","","","","","","","","","",benzin
"benzin istasyonu","cansiz","fosil yakit","pompa","kimyasal madde","petrol","otomobili hareket ettirmek","arac sahipleri","yanici","konuldugu kabin seklinde","","5 kg","yesil","","","","","","","","","","",benzin
"benziklikte","cansiz","petrol","lpg","hidrojen","petrol","enerji","arac","tasarruflu","sivi","1 m3","","sari","","","","","","","","","","",benzin
"tas","cansiz","kaya","tas  su","kum  cakil","kum","bina  su kanal  kopru","herkes","sert  dayanikli  baglayici","kati","","","gri","","","","","","","","","","",beton
"insaat","cansiz","santiye","kum  krimit  su","su","kum","yapi ortaya cikarir","insanlar","","duz","","degisken","gri","","","","","","","","","","",beton
"bina","cansiz","","demir","kum","kum su","bina","mutahit","","yapiya gore degisir","","1000kg","gri","","","","","","","","","","",beton
"fabrika","cansiz","yapi malzemesi","kalip","cimento","harc","bina insa etmek","insaat ustasi","sert","kalip halinde","","1000 kg","gri","","","","","","","","","","",beton
"temellerde","cansiz","insaat","tugla","harc","cimento","ev yapmaya","insanlar","saglam","","","","gri","","","","","","","","","","",beton
"tekstil","cansiz","kumas","igne  ip","ip  boya","pamuk  keten","tekstil  temizlik  medikal","herkes","duz  esnek","dikdortgen  kare","","","her renkten yapilabilir","","","","","","","","","","",bez
"tekstil atolyeleri","cansiz","pamuk","","ip","pamuk","ortulmek giysi","insanlar","","degisken","","","tum renkler","","","","","","","","","","",bez
"elbise","cansiz","kumas","kumas","yun","yun ","temizlik","","yeni/eski","sekil alir","50cm3","","renli","","","","","","","","","","",bez
"magaza","cansiz","hijyen urunu","paket","bant","pamuk","temizlik yapmaya","bebek","kuru","kare dikdortgen","","","beyaz","","","","","","","","","","",bez
"markette","cansiz","temizlik malzemeleri","su","","kumas","temizlik yapmaya yarar","temizlikci","super emici","kare","","","renkli","","","","","","","","","","",bez
"ev  otel","cansiz","heykel","esya  sus","ahsap  kumas  cam","genellikler  alci  tutkal","dekorasyon  sus  hediye ","herkes","sert  renkli","her sekli yapilabilir","degisir","degisir","her renkten yapilabilir","","","","","","","","","","",biblo
"salon","cansiz","","resim","tahta","tahta kagit","gorsellige","","ahsap","degisir","","100gr","degisken","","","","","","","","","","",biblo
"magaza","cansiz","dekorasyon","muhafaza","yapiskan","tahta","dekor yapmaya","herkes","parlak","degisken","","","kahverengi","","","","","","","","","","",biblo
"vitrinde","cansiz","sus","cicek","","alci","dekoratif","herkes","goz alici","kare","","45 gr","renkli","","","","","","","","","","",biblo
"mutfak  kasap","cansiz","kesici ezici alet","catal  kasik","metal","celik","kesme  parcalama","herkes","parlak  sivri","sivri  keskin","","","gri  sari","","","","","","","","","","",bicak
"her yerde","cansiz","","","celik","celik","bolme  kesme","insanlar","","sivri uclu","","","gri beyaz","","","","","","","","","","",bicak
"mutfak","cansiz","celik","makas","celik","celik demir","dogramaya","sef","keskin","ucu sivri ve uzun","","100gr","gri","","","","","","","","","","",bicak
"mutfak","cansiz","kesici alet","kilif","keskin kivrim","metal","et meyve kesmeye","kasap","keskin","yassi","","","metalik","","","","","","","","","","",bicak
"mutfakta","cansiz","alet","catal","celik","celik","kesmeye","asci","keskin","uzun","","2 gr","metalik","","","","","","","","","","",bicak
"","cansiz","kap","musluk  su","su  yag  petrol","plastik  cinko","sivilarin muhafazasi ve tasinmasi","herkes","sert","silindir  dikdortgen","5000","50 gr","her renkten yapilabilir","","","","","","","","","","",bidon
"sanayide","cansiz","plastik","sivi","plastik","plastik","sivilari muhafaze eder","insanlar","","degisken","","","tum renkler","","","","","","","","","","",bidon
"bahce","cansiz","plastik","bitki","naylon","naylon","sivi tasimaya","insan","eski yeni","yuvarlak","50cm3","","degisken","","","","","","","","","","",bidon
"market","cansiz","sivi deposu","kapak","sivi","plastik","sivi tasimaya","sucu","kucuk","dikdortgen","500 m3","10 kg","seffaf","","","","","","","","","","",bidon
"depoda","cansiz","","","sivi","plastik","saklama araci","isci","buyuk","silindir","","","mavi","","","","","","","","","","",bidon
"banko  sinema  ulasim","cansiz","belge","para  kagit","harf  boya  kelime","kagit  karton","seyahat  eglenme","herkes","esnek  sert","dikdortgen","","","her renkten yapilabilir","","","","","","","","","","",bilet
"gosterilerde","cansiz","gosteri","para","kagit","kagit","bir etkinlige giris saglar","insanlar","","dikdortgen","","","tum renkler","","","","","","","","","","",bilet
"acente","cansiz","kagit","otobus","","kagit","seyahat etmeye","yolcu","","","","","degisken","","","","","","","","","","",bilet
"konser alani","cansiz","evrak","kod","pul","kagit","etkinlige girmeye","yolcu","baskili","dikdortgen","","","beyaz","","","","","","","","","","",bilet
"gisede","cansiz","","","numara","kagit","giris hakki","insanlar","ucuz","dikdortgen","","","renkli","","","","","","","","","","",bilet
"her yerde","cansiz","elektronik arac","priz  kablo  fare","kasa  merkezi islem birimi (CPU)  monitor  fare  klavye  bilgisayar veri depolama  grafik karti  ses karti  hoparlorler ve anakart"," metal  cam ve plastik "," kendisine programlama yoluyla komuta edilmis bir dizi aritmetik ya da mantik islemini otomatik olarak yapabilen bir makinedir","herkes","sert  mat  parlak","dikdortgen","degisken","degisken","her renkten yapilabilir","","","","","","","","","","",bilgisayar
"her yerde","cansiz","elektronik devreler yazilim","monitor mause elektrik","devreler","elektronik","belli islemler gerceklestirir veri saklar","makineler yazilimcilar isciler","","dikdortgen","","","","","","","","","","","","","",bilgisayar
"ev/ofis","cansiz","alet","maus","materyal","","veri aktarimi arastirmaya","insan","yeni/eski model","kare","","2kg","siyah beyaz","","","","","","","","","","",bilgisayar
"teknolojik market","cansiz","cihaz","klavye fare","cip","silikon","islem yapmaya","herkes","yeni","kare dikdortgen","","2 kg","siyah","","","","","","","","","","",bilgisayar
"ofiste","cansiz","makine","mouse","ekran cami","metal","hesap yapmaya","insanlar","hizli","kare","","","gri","","","","","","","","","","",bilgisayar
"her yerde","cansiz","yapi","dukkan  park","daire  ofis","blok  cam  cimento  demir","barinmak","herkes","sert  katli  kapali  cok bolmeli","dikdortgen","degisken","degisken","her renkten yapilabilir","","","","","","","","","","",bina
"her yerde","cansiz","site","evler  bahce","insan hayvan","beton","barinma saglar","insanlar","","dikdortgen","","","tum renkler","","","","","","","","","","",bina
"yasam alani","cansiz","yapi","park alani","beton demir","beton demir","yasam alanina","canli","site mustakil","uzun","25m3","","degisken","","","","","","","","","","",bina
"sokak","cansiz","yapi","garaj","tugla","beton","barinmaya","herkes","yuksek","dikdortgen","","","krem","","","","","","","","","","",bina
"sokakta","cansiz","konut","bahce","daire","cimento","konaklama","insanlar","isikli ","","","","beyaz","","","","","","","","","","",bina
"lokanta  bar  meyhane","cansiz","icki  alkol","meze  sarap","arpa  misir  pirinc  bugday","arpa","","herkes","sivi","sivi","degisken","degisken","Sari  kahverengi  siyah","","","","","","","","","","",bira
"bar  ev","cansiz","alkol","cerez","malt","malt bugday arpa","vucuda alkol saglar","insanlar","","akiskan","","","sari  siyah","","","","","","","","","","",bira
"klub","cansiz","sivi","muzik","bugday","maya bugday","icmeye","insan","mayali /mayasiz","","20cm3","","sari","","","","","","","","","","",bira
"alkollu mekan","cansiz","icecek","cerez","maya","tahil","eglenmeye","alkol severler","yogun","konuldugu kabin seklinde","","500 gr","siyah","","","","","","","","","","",bira
"dolapta","cansiz","icecek","","kopuk","arpu","icmeye","insanlar","iyi","sivi","","","sari","","","","","","","","","","",bira
"sokak  park","cansiz","arac","insan","zincir  tekerlik  vida  direksiyon","metal","ulasim  kilo verme","herkes","sert  hizli","","degisken","degisken","her renkten yapilabilir","","","","","","","","","","",bisiklet
"her yerde","cansiz","tasit","pedal lastik","demir","celik","tasima yapar","insanlar","","","","","tum renkler","","","","","","","","","","",bisiklet
"sokak","cansiz","arac","insan","pedal","","surmeye","insan","eski /yeni","","","","","","","","","","","","","","",bisiklet
"yol","cansiz","tasit","kilit","bilye","metal","seyahat etmeye","bisiklet sahipleri","hizli","daire","","","gri","","","","","","","","","","",bisiklet
"bisiklet yolunda","cansiz","arac","matara zil","sele","celik","ulasim","insanlar","tutusu kuvvetli","geometrik","","45 kg","yesil","","","","","","","","","","",bisiklet
"avm  magaza  dolap","cansiz","giysi","aski  kiyafet","ip  boncuk","orme kumas","giyim  dis etkenlerden koruma ","kadinlar","sik  kibar  guzel","","degisken","degisken","her renkten yapilabilir","","","","","","","","","","",bluz
"magazada insanlarin ustunde","cansiz","tekstil","tekstil urunleri","kumas pamuk","pamuk iplik","ortunme","insanlar","","degisken","","","tum renkler","","","","","","","","","","",bluz
"magaza","cansiz","giysi","etek","kumas","yun","giymeye","insan","yipranmis/yeni","degisir","","","degisken","","","","","","","","","","",bluz
"magaza","cansiz","kiyafet","etiket","baski","iplik","moda","bayanlar","rahat","kollu giysi seklinde","","","mor","","","","","","","","","","",bluz
"cekmecede","cansiz","giyim","kazak","iplik","iplik","giyinmek icin","insanlar","kaliteli","","","","renkli","","","","","","","","","","",bluz
"doga","cansiz","element","periyodik cetvel","","","","","","","","","","","","","","","","","","","",bor
"yer altinda","cansiz","maden","toprak","","","enerji verir","insanlar","","","","","beyaz","","","","","","","","","","",bor
"maden ocagi","cansiz","maden","toprak","borasit","fosil","","insan","","tas","10cm3","","siyah","","","","","","","","","","",bor
"maden","cansiz","hammadde","kazi aleti","","","yakit","fabrika","","","","","","","","","","","","","","","",bor
"madende","cansiz","element","komur","borik asit","boraks","kagit sanayi","uzman","","kati","","","beyaz","","","","","","","","","","",bor
"magaza  banyo","cansiz","giysi","havlu  carsaf","ip  kumas  boya","pamuk","kurulamak","herkes","yumusak","","degisken","degisken","her renkten var","","","","","","","","","","",bornoz
"banyo","cansiz","tekstil","","pamuk","pamuk","ortunme","insanlar","","","","","tum renkler","","","","","","","","","","",bornoz
"banyo","cansiz","giysi","havlu","kumAs","kumas","giymeye","insan","yeni/yipranmis","elbise","","","degisken","","","","","","","","","","",bornoz
"banyo","cansiz","kiyafet","havlu","cep","pamuk","dus sonrasi kurumaya","herkes","yumusak","pardesu seklinde","","","beyaz","","","","","","","","","","",bornoz
"banyoda","cansiz","giyim","havlu","iplik","pamuk","kurulanmaya","insanlar","pamuklu","","","150gr","renkli","","","","","","","","","","",bornoz
"tesisat","cansiz","melzeme  arac","su  musluk","hava  su","plastik  metal","aktarma  iletmek","herkes","ici bos  uclari acik  uzun ve dar","silindir","degisken","degisken","beyaz  gri","","","","","","","","","","",boru
"evde","cansiz","alet","","naylon","naylon","aktarima","usta","yalitimli yeni","silindir","10cm3","","beyaz","","","","","","","","","","",boru
"yer alti","cansiz","iletim araci","kilit","delik","plastik","sivi ve gaz iletmeye","insaat ustasi","esnek","daire","200 cm3","","gri","","","","","","","","","","",boru
"evde","cansiz","yapi malzemesi","vana","sivi","plastik","ihtiyac icin gereken aktarimi saglar","isci","kaliteli","uzun silindir","","","beyaz","","","","","","","","","","",boru
"yuzey","cansiz","renkli madde","firca  naylon kilif","Baglayici  cozucu  pigmentler ve diger katki maddeleri.","recine ve katki maddeler","renklendirme  renk degistirme  dekoratif","herkes","sivi  kokulu","sivi","degisken","degisken","her renkten yapilabilir","","","","","","","","","","",boya
"atolye","cansiz","sivi/kuru","tual","baglayici madde","recine","gorsellige","usta","kokusuz su sizdirmaz","","","1kg","degisken","","","","","","","","","","",boya
"dukkan","cansiz","koruyucu madde","firca","renk pigmenti","seluloz","dis etkenden korumaya","insaat ustasi","koruyucu","konuldugu kabin seklinde","","1 kg","yesil","","","","","","","","","","",boya
"duvarlarda","cansiz","malzeme","firca","","pigment","duvarlari boyamaya","boyaci","guzel","sivi","","","renkli","","","","","","","","","","",boya
"bazi hayvanlarda","cansiz","organ  alet","kulak  tuy  deri","kemik  keratin","kemik  keratin","korunma","hayvanlar  insanlar"," uzun  kivrik ","kivrik","degisken","degisken","kahverengi","","","","","","","","","","",boynuz
"hayvanlar","cansiz","hayvan","hayvan","","","hayvanlarin korunmasi icin","hayvan","","sivri","","","","","","","","","","","","","",boynuz
"hayvanda","cansiz","uzuv","kulak","","","","hayvan","","sivri uclu","","400gr","beyaz","","","","","","","","","","",boynuz
"hayvanat bahcesi","cansiz","organ","tuy","","","","","sert","koni","","","kahverengi","","","","","","","","","","",boynuz
"hayvan","canli","hayvan","","","","korumaya","hayvanlar","saglam","sivri","","","beyaz","","","","","","","","","","",boynuz
"ofis","cansiz","kitapcik","kartvizit","yazi  harf  kelime  resim","karton  kagit","tanitim  bilgi verme","herkes","sert  parlak","dikdortgen","degisken","degisken","her renkten yapilabilir","","","","","","","","","","",brosur
"tabela","cansiz","kagit","reklam","kagit","kagit","reklam","calisan","","kagit","","","degisken","","","","","","","","","","",brosur
"sokak","cansiz","bilgilendirme araci","anahtarlik","yazi","kagit","bilgilendirmeye","reklamcilar","parlak","dikdortgen","","","turuncu","","","","","","","","","","",brosur
"sokakta","cansiz","","","","kagit","bilgi vermeye","insanlar","anlasilir","","","","renkli","","","","","","","","","","",brosur
"tarlalarda","canli","bitki  tohum","misir","vitamin  cinko  folik asit","toprak","besin  nisasta","herkes","","uzun","degisken","degisken","bej  kahverengi","","","","","","","","","","",bugday
"tarla","cansiz","tahil","saman","un","kendisi","temel gida","insan","tam bugday","uzun ve yuvarlak","","3gr","sari","","","","","","","","","","",bugday
"tarla","canli","gida","hasat aleti","tohum","","ek gida uretmeye","firincilar","yassi","","","100 gr","sari","","","","","","","","","","",bugday
"tarlada","cansiz","basak","","","basak","ekmek yapmaya","insanlar","taze","","","","beyaz","","","","","","","","","","",bugday
"su yuzeyi  hamam  laboratuvar","cansiz","sivi  gaz","su  musluk","","su","nemi dengelemek  tedavi","herkes","gaz","Yok  duman  dalga","degisken","degisken","yok  seffaf","","","","","","","","","","",buhar
"laboratuar","cansiz","","su","su","su","nemlendirmeye","makine","solisyonlu","","","","beyaz","","","","","","","","","","",buhar
"caydanlik","cansiz","kimya","su","su molekulu","su","pisirmeye","","yogun","","","","","","","","","","","","","","",buhar
"atolyede","cansiz","","utu","isi","su","utu yapmaya","atolye calisanlari","sicak","gaz","","","yok","","","","","","","","","","",buhar
"mutfak","cansiz","","aski  sabun  tabak  catal","","kir","","herkes","yapiska  sulu","","degisken","degisken","her renkten yapilabilir","","","","","","","","","","",bulasik
"mutfak","cansiz","cam","tabak bardak","","cam ","yemek aletleri","insan","kirik","","","","degisken","","","","","","","","","","",bulasik
"ev","cansiz","arac gerec","temizlik urunu","kir","porselen","temizlemeye","herkes","kirli","daire dikdortgen","","","beyaz","","","","","","","","","","",bulasik
"mutfakta","cansiz","mutfak esyasi","","tabak","tabak","yemek kaplari","yemek yapanlar","cok","","","","renkli","","","","","","","","","","",bulasik
"yol","cansiz","makina  arac","bicak  toprak","tekerlik  cam   calisan","metal","toprak tesviye  yol yapma","insaat  calisan  belediye","tekerlekli ","","degisken","degisken","sari  siyah","","","","","","","","","","",buldozer
"insaat alani","cansiz","makine","kamyon","Parca alet","","toprak kazmaya","arac gorevlisi","calisir","arac","","3000kg","sari","","","","","","","","","","",buldozer
"insaat alani","cansiz","makine","kepce","aku","celik","kazi yapmaya","operator","dayanikli","","","4000 kg","sari","","","","","","","","","","",buldozer
"santiyede"," cansiz","is makinasi","kepce","tekerlek","celik","yol yapma ihtiyacini karsilar","isciler","gurultulu","","","2 ton","sari","","","","","","","","","","",buldozer
"market  evde  mutfak","canli","bitki  tohum","tencere","","","yemek yapma","herkes","ince  kalin","nokta gibi ","degisken","degisken","bej  kahverengi","","","","","","","","","","",bulgur
"tarla","cansiz","tahil","saman","","bugday","yemeye","insan","taze","kucuk tas tanesi","","1gr","sari","","","","","","","","","","",bulgur
"market","cansiz","gida","tarti","","","yemek yapmaya","ascilar","iri","","","200 gr","sari","","","","","","","","","","",bulgur
"mutfakta","cansiz","yemek","kasik","","bugday","doymaya yarar","insanlar","koftelik","belirsiz","","","sari","","","","","","","","","","",bulgur
"is yerlerinde","cansiz","yazihane  sube","is merkezi","","ahsap","toplanti  calisma","calisanlar  herkes","","dikdortgen","degisken","degisken","","","","","","","","","","","",buro
"bina","cansiz","yapi","bilgisayar","","","calisma alani","insan","","kare oda","15m3","","","","","","","","","","","","",buro
"is hani","cansiz","yapi","masa","masa sandalye","","calismaya","avukat","ferah","degisken","4000 m3","","","","","","","","","","","","",buro
"is yeri","cansiz","ofis","not defteri","masa","","calismaya yarar","insanlar","kucuk","belirsiz","","","renkli","","","","","","","","","","",buro
"yuzde","cansiz","organ","yanak","","","nefes alma","herkes","2 delikli","ucgen gibi ","degisken","degisken","her ten renginden olabilir","","","","","","","","","","",burun
"insan bedeni","canli","uzuv","agiz","doku","kikirdak dokular","koku nefes almaya","insan","estetikli","","","","ten rengi","","","","","","","","","","",burun
"vucut","canli","organ","goz agiz","mukus","kemik kikirdak deri","koklamaya","herkes","buyuk","","","","cilt rengi","","","","","","","","","","",burun
