@RELATION	text2arff

@ATTRIBUTE	tanimi_nedir	STRING
@ATTRIBUTE	class	{acele_etmek,aciklamak,acilmak,acmak,affetmek,ag,agac,aglamak,akil_etmek,alay_etmek,alismak,almak,anlamak,anlatmak,anmak,araba_surmek,aramak,artmak,arzu_etmek,asik_olmak,asmak,atamak,ates_etmek,atlamak,atmak,ayaga_kalkmak,ayarlamak,ayirmak,ayrilmak,bagirmak,bagislamak,baglamak,bahsetmek,bakmak,balik_tutmak,banyo_yapmak,barismak,basarmak,baslamak,baslatmak,basmak,begenmek,beklemek,belgelemek,belirlemek,belirtmek,benzemek,bikmak,bildirmek,bilmek,binmek,bir_araya_gelmek,birakmak,bitirmek,bitmek,bolmek,borc_almak,borc_vermek,bozdurmak,bozmak,bulmak,bulunmak,bulusmak,buyumek,cagirmak,cagrida_bulunmak,calismak,calmak,can_almak,can_vermek,cani_sikilmak,canlandirmak,canlanmak,canta,carpismak,carpmak,catal,cati,cavdar,cay,cekmece,cekmek,cekyat,celik,cerceve,cereyan_etmek,cevap_vermek,cevaplandirmak,cevirmek,ceza_vermek,cezalandirmak,cicek,cikarmak,cikartma,cikmak,cikolata,cikrik,cimento,cini,civi,cizmek,cokelek,corap,cozmek,cuval,dagitmak,daire,dal,damga,dans_etmek,dantel,davam_etmek,davet_etmek,davranmak,degerlendirmek,degismek,degistirmek,demek,denemek,ders_calismak,desteklemek,deterjan,devam_etmek,dikkat_etmek,dile_getirmek,dilemek,dinlemek,dinlenmek,dogmak,dogrulamak,dokmek,dokunmak,dolasmak,donmek,dovmek,dua_etmek,durdurmak,durmak,dus_yapmak,dusmek,dusunmek,duvar,duymak,duzenlemek,eglenmek,ele_gecirmek,emekli_olmak,emretmek,endise_etmek,engel_olmak,engellemek,ertelemek,etkilemek,ev_tutmak,evlenme_teklif_etmek,evlenmek,ezberlemek,farketmek,farzetmek,feshetmek,fotokopi_cekmek,fren_yapmak,gec_kalmak,gecikmek,gecirmek,gecmek,gelismek,gelistirmek,gelmek,gerceklesmek,gerceklestirmek,gerekmek,geri_vermek,getirmek,gezmek,girmek,gitmek,giyinmek,giymek,gizlemek,gocmek,gondermek,gormek,gorunmek,gorusmek,gostermek,goturmek,goz_atmak,gozaltina_almak,gozden_gecirmek,gozukmek,grev_yapmak,gulmek,guzellesmek,haber_vermek,harcamak,hatirlamak,hatirlatmak,hazirlamak,hazirlanmak,heyecan_duymak,hissetmek,hosa_gitmek,hoslanmak,icmek,idare_etmek,iddia_etmek,ifade_vermek,ihrac_etmek,ihtiva_etmek,ikaz_etmek,ikna_etmek,ikram_etmek,ilan_etmek,ileri_surmek,ilerlemek,ilgilenmek,imkansiz,imtihan_etmek,imtihana_girmek,imzalamak,inanmak,incelemek,inmek,insaat_yapmak,iptal_etmek,isaret_etmek,isbirligi_yapmak,isgal_etmek,isinmak,isirmak,isitmak,isitmek,ismarlamak,israr_etmek,istemek,istifa_etmek,isyan_etmek,ithal_etmek,itiraz_etmek,itmek,izah_etmek,izin_almak,izin_vermek,izlemek,kabul_etmek,kacirmak,kacmak,kahvalti_etmek,kaldirmak,kalkmak,kalmak,kamp_yapmak,kanunlasmak,kapamak,kapanmak,kar_etmek,karar_vermek,karismak,karsi_cikmak,karsilamak,karsilastirmak,katilmak,kaybetmek,kaybolmak,kaydetmek,kaygilanmak,kayit_yaptirmak,kaynaklanmak,kaza_yapmak,kaza_yaptirmak,kazanmak,kesmek,kinamak,kirada_oturmak,kiralamak,kirmak,kizmak,koklamak,kokmak,kolaylamak,kolaylasmak,kontrol_etmek,konusmak,korkmak,korumak,kosmak,kovmak,koymak,kullanmak,kurmak,kurtarmak,kuskulanmak,kutlamak,kuvvetlenmek,lazim_olmak,mahvetmek,mecbur_olmak,memnun_kalmak,memnun_olmak,merak_etmek,mesgul_olmak,meshur_olmak,meydana_cikmak,meydana_gelmek,mezun_olmak,monte_etmek,mudafaa_etmek,mudahale_etmek,munakasa_etmek,muracaat_etmek,musaade_etmek,neden_olmak,nefret_etmek,nezle_olmak,nitelendirmek,noktalamak,not_almak,not_etmek,not_tutmak,odemek,ogrenmek,ogretmek,okumak,oldurmek,olmak,olmek,olusmak,olusturmak,onaylamak,one_surmek,onem_vermek,onermek,ongormek,onlemek,opmek,ortadan_kaldirmak,ortaya_cikarmak,ortaya_koymak,oturmak,oy_vermek,oynamak,ozetlemek,ozlemek,ozur_dilemek,paniklemek,para_kazanmak,pazarlik_etmek,pisirmek,pisman_olmak,pismek,planlamak,postalamak,rahat_almak,rahatsiz_etmek,rastlamak,razi_olmak,reddetmek,rejim_yapmak,restore_etmek,rica_etmek,riske_girmek,riski_girmek,saglamak,saklamak,saldirmak,sanmak,sapmak,saptamak,sarki_soylemek,sarmak,sart,sasirmak,sasmak,satin_almak,satmak,savasmak,savunmak,saymak,selamlamak,sevinmek,sevmek,seyahat_etmek,seyretmek,siginmak,sikayet_etmek,sikilmak,sinava_girmek,sinirlamak,sohbet_etmek,sokmak,son_vermek,sona_ermek,soylemek,soz_vermek,spor_yapmak,suphe_etmek,surdurmek,surmek,takip_etmek,takmak,tanismak,tanistirmak,tasimak,tavsiye_etmek,teklif_etmek,tekrar_etmek,telefon_etmek,temas_etmek,temas_kurmak,temin_etmek,temizlemek,temsil_etmek,tercih_etmek,tercume_etmek,terfi_etmek,terlemek,tesekkur_etmek,tesir_etmek,teslim_etmek,tesvik_etmek,titremek,toplamak,toplanmak,tutmak,tutuklamak,ucmak,ugramak,ugrasmak,ulasmak,umit_etmek,ummak,unutmak,uretmek,usumek,uyanmak,uyarmak,uygulamak,uymak,uyumak,uzanmak,uzerinde_durmak,uzulmek,var_olmak,varmak,vazgecmek,vermek,vurmak,yagmak,yakalamak,yaklasmak,yakmak,yalanlamak,yanit_vermek,yanitlamak,yanitsiz_birakmak,yanmak,yapmak,yaratmak,yasaklamak,yasaklanmak,yasamak,yaslanmak,yatirmak,yatmak,yaymak,yazmak,yedirmek,yemek_yemek,yenmek,yer_almak,yer_vermek,yerine_getirmek,yetismek,yetistirmek,yikamak,yikmak,yol_acmak,yolculuk_yapmak,yollamak,yonetmek,yorulmak,yukselmek,yurumek,yurutmek,yuzmek,zahmet_etmek,zannetmek,zarar_etmek,ziyan_etmek,ziyaret_etmek,zorlamak,zorluk_cekmek,zorunda_olmak}

@DATA
"bir sey hakkinda bilgiye haiz olmak",bilmek
"bir sey hakkinda bilgili olmak",bilmek
"bilgi sahibi olmak",bilmek
"bir bilgiyi ogrenmis olmak",bilmek
"bir konunun uzerinde bilgi sahibi olmak",bilmek
"bir tasita oturmaktadir ",binmek
"bir tasit kullanmak",binmek
"araca binmek",binmek
"bir hayvanin uzerine cikmak",binmek
"bir yere gitmek icin eylem",binmek
"arkdasla aile ile bulusmaktadir ",bir_araya_gelmek
"bir grubun toplanmasi",bir_araya_gelmek
"toplanmak",bir_araya_gelmek
"birisiyle gorusmek",bir_araya_gelmek
"toplanmak",bir_araya_gelmek
"tutmak eyleminin zitti",birakmak
"bir aliskanligi zamanla terketmek",birakmak
"tutmamak",birakmak
"tutulan seyi beraat etmek",birakmak
"bir objeyi tutmayi durdurmak",birakmak
"tutulan bir seyin tutulmaktan vazgecilmesi",birakmak
"bir is sonu getirme ",bitirmek
"bir seyin sonunu getirmek",bitirmek
"bir olayi durumu bitirmek",bitirmek
"bir isi sona erdirmek",bitirmek
"tamamlanmak",bitirmek
"bir objeyi yok olmasi",bitmek
"daha fazla yapamama durumu",bitmek
"tukenmek",bitmek
"tukenmek sona ermek",bitmek
"yok olmak",bitmek
"bir nesneyi iki parcayi ayirmak",bolmek
"parcalara ayirmak",bolmek
"hesap yaparken",bolmek
"iki sayiyi birbirine bolmek",bolmek
"parcalamak",bolmek
"bir sey almak icin para alma",borc_almak
"geri odemek uzerine bir sey almak",borc_almak
"gecici olarak durumu kurtarmak",borc_almak
"odunc para almak",borc_almak
"para almak",borc_almak
"bir kisiye ihtiyaci olunca para verme",borc_vermek
"geri almak uzere bir sey vermek",borc_vermek
"gecici olarak baskasini rahatlatmak",borc_vermek
"odunc para vermek",borc_vermek
"para vermek",borc_vermek
"parayi kucuk bankotlara bolmek",bozdurmak
"elindeki parayi daha dusuk hale getirmek",bozdurmak
"parayi parca halinde kullanabilmek",bozdurmak
"parayi daha kucuk degerlere cogaltmak",bozdurmak
"para bozdurmak",bozdurmak
"bir seyi kirmak",bozmak
"calisan bir seyi calismayacak hale getirmek",bozmak
"urunu kullanilmaz hale getirmek",bozmak
"kullanilmaz hale getirmek",bozmak
"para bozmak",bozmak
"bir seyi aradiktan sonra bir araya gelmek",bulmak
"aradigina erismek",bulmak
"fikir bulmak",bulmak
"cevaba erismek",bulmak
"kesfetmek",bulmak
"bir objeyi var olmasi ",bulunmak
"belli bir yerde vaki gecirmek",bulunmak
"arandigindan tespit edilmek",bulunmak
"bir etkinlikte yer almak",bulunmak
"yakalanmak",bulunmak
"bir insanla araya gelmesi ",bulusmak
"en az iki kisinin bir araya gelmesi",bulusmak
"randevu",bulusmak
"ortak bir yerde gorusmek",bulusmak
"bir araya gelmek",bulusmak
"bir seyin gelismesi yaslanmasi",buyumek
"belli bir olgunluga erismek",buyumek
"yas almak",buyumek
"yas almak",buyumek
"gelismek",buyumek
"bir kisinin adini anilmasi",cagirmak
"iletisim icin kontak kurmak",cagirmak
"davet etmek",cagirmak
"yanina gelmesini istemek",cagirmak
"davet ",cagirmak
"bir kisi ya da kisilerin yargic ve savci onune gelmelerini isteme. ",cagrida_bulunmak
"iletisime gecmek icin kontak kurma",cagrida_bulunmak
"baska bir ortama davet edilmek",cagrida_bulunmak
"bilgi yaymak",cagrida_bulunmak
"cagirmak",cagrida_bulunmak
"bir sey ortaya koymak  olusturmak  yapmak icin emek harcamak.",calismak
"bir konu hakkinda bilgi edinmek",calismak
"olusturmak",calismak
"bir is yapmak",calismak
"is yapmak",calismak
"tiklatarak ya da tokmagiyla vurarak ya da dugmesine basarak ses cikarmasini saglamak.",calmak
"izinsiz bir seyi almak  muzik",calmak
"gizlice almak",calmak
"hirsizlik yapmak",calmak
"muzik aletiyle ses cikarmak",calmak
"bir insani katil edilmesi  bir hayvani katil edilmesi",can_almak
"bir canlinin hayatini sonlandirmak",can_almak
"yasami sonlandirmak",can_almak
"hayatini sona erdirmek",can_almak
"oldurmek",can_almak
"hayat bitmesi  yasam yitirmesi",can_vermek
"hayatin sonlamasi",can_vermek
"olmek",can_vermek
"hayati sona ermek",can_vermek
"olmek",can_vermek
"bos kalmak",cani_sikilmak
"bir olay dogrultusunda bikkinlik",cani_sikilmak
"bos kalmak",cani_sikilmak
"yapacak bir is bulamamak",cani_sikilmak
"darlanmak",cani_sikilmak
"bir seyi ihya etmesi",canlandirmak
"gecmisten bir olayi sahnelemek",canlandirmak
"hayat vermek",canlandirmak
"soyut bir karaktere rol yapmak",canlandirmak
"rol yapmak",canlandirmak
"guclenmek dirilmek",canlanmak
"tekrardan hayata donmek",canlanmak
"dirilmek",canlanmak
"oldukten sonra dirilmek",canlanmak
"yesermek",canlanmak
"İcerisine esya konup yaninda tasimaya yarar",canta
"bir obeji baska bir obeji ile yuze yuz gelmesi  iki araba bir birine girmesi",carpismak
"iki nesnenin bir birine degmesi",carpismak
"iki cismin birlesmesi",carpismak
"kazaya karismak",carpismak
"kafa kafaya gelmek",carpismak
"hizla vurmak",carpmak
"bir nesneye degmek",carpmak
"hizla degmek",carpmak
"bir yere vurmak",carpmak
"kaza yapmak",carpmak
"yemege batirip yememize yarar",catal
"binalarin en ustindeki alandir",cati
"tahil turudur",cavdar
"kaynatilip icilebilen bir bitki",cay
"kiyafet ve evrak konulur",cekmece
"bir seyi kendini cekmesi  bir seyin almasi",cekmek
"bir seyi kendine dogru almak",cekmek
"birseyi tasimak",cekmek
"bir nesneyi yakina getirmek",cekmek
"almak",cekmek
"koltuk seklinde olup yataga donusur ve altina esya konur",cekyat
"sarkici  demir elementi",celik
"fotograf konan esyadir",cerceve
"bir seydan tahakkuk etmek",cereyan_etmek
"olayin gerceklesmesi",cereyan_etmek
"durumun oldu bittisi",cereyan_etmek
"olumsuz bir olay olmak",cereyan_etmek
"olup bitmek",cereyan_etmek
"bir kisiye cevap verilmesi",cevap_vermek
"yanit vermek",cevap_vermek
"soruya konusmaya geri bildirim yapmak",cevap_vermek
"soru yanitlamak",cevap_vermek
"yanitlama ",cevap_vermek
"yanitlandirmak",cevaplandirmak
"yanitlamak",cevaplandirmak
"toplu sorulara geri bildirim vermek",cevaplandirmak
"yanitsiz birakmamak",cevaplandirmak
"yanit vermek",cevaplandirmak
"bir seyin yonunu degistirmek",cevirmek
"bir seyin donmesini saglamak",cevirmek
"bir nesneyi dondurmek",cevirmek
"bir nesneyi dondurmek",cevirmek
"dondurmek",cevirmek
"uygun olmayan tepki ve davranislari onlemek icin yapilir ",ceza_vermek
"bir yanlis davranis dogrultusunda bir eylemde bulunmak",ceza_vermek
"istenmeyen durum karsinda kisinin maruz kaldigi davranis",ceza_vermek
"kotu davranisa karsi aksiyon almak",ceza_vermek
"cezalandirmak",ceza_vermek
"davranisin karsiligindaki yaptirimdir",cezalandirmak
"yapilan hata sonrasi eylem uygulanmasi",cezalandirmak
"olumsuz durumlarda kisinin maruz kaldigi olay",cezalandirmak
"kotu davranisa karsi aksiyon almak",cezalandirmak
"ceza vermek",cezalandirmak
"toprakta yetisen guzel kokulu ve yaprakli bitki",cicek
"bir seyin disarya alinmasi  bir objeyi kullanilmasi",cikarmak
"bir kisinin isine son vermek",cikarmak
"ortaya koymak",cikarmak
"sayilarla cikarma islemi yapmak",cikarmak
"azalmak",cikarmak
"yapiskanli etiket",cikartma
"iceriden disariya varmak",cikmak
"disarida bulunmak",cikmak
"varmak/gitmek",cikmak
"disariya cikmak",cikmak
"biryerden gitmek",cikmak
"kakao ile yapilan ve mutluluk veren yiyecek",cikolata
"kuyudan kovayi kolay cekmeye yarayan alet",cikrik
"beton yapmak icin kullanilir",cimento
"vazo modelidir",cini
"duvara tablo asmaya yarar",civi
"cizgi olusturmak",cizmek
"bir resmi gorsel hale getirmek",cizmek
"cizgi olusturmak",cizmek
"kalem ile boyama yapmak",cizmek
"resim yapmak",cizmek
"peynir turudur",cokelek
"ayaklara giyilen kiyafet turudur",corap
"Bir problemde aranan sonucu",cozmek
"bir problemi sonuclandirmak",cozmek
"sorulari aydinlatmak",cozmek
"bir problemi gidermek",cozmek
"problemi anlamak",cozmek
"iplikten yapilmis icine cesitli esya konur ve tasimaya yarar",cuval
"bir objeyi insanlara verme",dagitmak
"",dagitmak
"bolusturmek",dagitmak
"duzeni bozmak",dagitmak
"paylastirmak",dagitmak
"gayrimenkul  yuvarlak seklinde geometrik",daire
"agaclarin ust kismindaki yaprakli cikintilardir",dal
"imza niteliginde kagida basilir",damga
"muzik ritim uyarak estetik deger tasiyan vucut hareketleri yapmak",dans_etmek
"bedensel hareketlilik",dans_etmek
"belli bir muzige uyarak hareket etmek",dans_etmek
"ritmik hareketler yapmak",dans_etmek
"hareket ederek uyumlu seyler yapmak",dans_etmek
"tig ile orulen esyalarin uzerinde dekor amacli kullanilir",dantel
"",davam_etmek
"surdurebilmek",davam_etmek
"surdurmek",davam_etmek
"ilerlemek",davam_etmek
"bir kisiye bir yere cagirmasi  birden fazla kisi bir yere cagirlmasi",davet_etmek
"katilmasi icin istekte bulunmak",davet_etmek
"cagimak",davet_etmek
"bir kisiyi bir yere cagirmak",davet_etmek
"cagirmak",davet_etmek
"bir seye el atmak",davranmak
"",davranmak
"eylemde bulunmak",davranmak
"iyi veya kotu yonde aksiyon almak",davranmak
"tepki vermek",davranmak
"bir seyin iyi yada kotu olmasini soylemek",degerlendirmek
"bir analizde bulunmak",degerlendirmek
"olcmek",degerlendirmek
"bir isi sonuca baglamak",degerlendirmek
"dusunmek",degerlendirmek
"bir seyin baska bir hale gelmesi  bir objeyi baska bir duruma gelmesi",degismek
"davranis",degismek
"var olandan uzaklasmak",degismek
"ruh hali farklilasmak",degismek
"ayak uydurmak",degismek
"bir kimseyi ya da bir seyi bulundugu yerden baska bir yere almak",degistirmek
"biryeden baska yere alma",degistirmek
"farkli bicimlendirmek",degistirmek
"fikir degistirmek",degistirmek
"yenilemek",degistirmek
"bir seyin soylenmesi",demek
"soz soylemek",demek
"soylemek",demek
"soylemek",demek
"soylemek",demek
"bir objeyi kullanilmasi  kiyafet giyilmesi",denemek
"sinamak",denemek
"deneyden gecirmek",denemek
"ogrenmek icin aksiyon almak",denemek
"cabalamak",denemek
"belli bir konuyu anlamak Sinav icin calismasi",ders_calismak
"bilgi ogrenmek",ders_calismak
"ogrenmek",ders_calismak
"egitim almak",ders_calismak
"ogrenmek",ders_calismak
"zor durum oldugunda bir insana yardim etmesi ",desteklemek
"bir tarafi tutmak",desteklemek
"arka cikmak",desteklemek
"moral saglamak",desteklemek
"yaninda olmak",desteklemek
"temizlik icin kullanilir",deterjan
"bir isi bitirmesi ",devam_etmek
"surdurebilmek",devam_etmek
"surdurmek",devam_etmek
"surekliligini saglamak",devam_etmek
"sonuca ilerlemek",devam_etmek
"bir objeyi bakmak",dikkat_etmek
"odaklanmak",dikkat_etmek
"uyanik davranmak",dikkat_etmek
"farkinda olmak",dikkat_etmek
"odaklanmak",dikkat_etmek
"bir kisinin adini soylemesi",dile_getirmek
"bir konu hakkinda dusunceni belirtmek",dile_getirmek
"soylemek",dile_getirmek
"dusunceyi soylemek",dile_getirmek
"soylemek",dile_getirmek
"bir istegin gerceklesmesi icin dua etmek",dilemek
"birseyin olmasini istemk",dilemek
"bir istekte bulunmak",dilemek
"yapilmasini istemek",dilemek
"konusan birine kulak vermek",dinlemek
"kulak verme  duyma",dinlemek
"duymak  isitmek",dinlemek
"kulak vermek",dinlemek
"vucut hareketini en aza indirmek",dinlenmek
"hareketsiz kalmak",dinlenmek
"mola vermek",dinlenmek
"ara vermek",dinlenmek
"canli dunyaya gelmek",dogmak
"dunyaya gelmek",dogmak
"var olmak",dogmak
"dunyaya gelmek",dogmak
"bir bilgiyi onaylamak",dogrulamak
"onaylamak",dogrulamak
"onaylamak",dogrulamak
"",dogrulamak
"bir siviyi akitmak",dokmek
"bir seyin sacilmasi",dokmek
"bir seyi bosaltmak",dokmek
"baska bir yere aktarmak",dokmek
"bir yuzeye temas etmek",dokunmak
"temasta bulunmak",dokunmak
"hissetmek",dokunmak
"hissetmek",dokunmak
"kisa sureli yuruyus yapmak",dolasmak
"belirsizce yurumek",dolasmak
"bir yerde gezinmek",dolasmak
"gezinmek",dolasmak
"yon degistirmek",donmek
"yonunu cevirmek",donmek
"bir seyin etrafinda dolasmak",donmek
"geri gelmek  kendi etrafinda hareket etmek",donmek
"birine vurmak",dovmek
"yumruk atmak",dovmek
"bir seye sinirlendiginde verilen tepki",dovmek
"vurmak",dovmek
"Yaraticidan istekte bulunmak",dua_etmek
"isteklerin icin yaraticidan yardim talep etmek  ",dua_etmek
"bir seyin manevi olarak istenmesi",dua_etmek
"dilemek",dua_etmek
"hareket halindeki nesnenin hareketini kesmek",durdurmak
"devam edeni sonlandirma",durdurmak
"bir seye engel olmak",durdurmak
"",durdurmak
"hareketsiz halde beklemek",durmak
"Hizi sifira indirmek.",durmak
"ilerlemeyi sonlandirmak",durmak
"kimildamamak",durmak
"vucudu temizlemek",dus_yapmak
"yikanmak",dus_yapmak
"su ve sabun kullanarak kirin akitilmasi",dus_yapmak
"temizlenmek",dus_yapmak
"yuksekten kontrolsuz inmek",dusmek
"oldugu yerden dusmek",dusmek
"yukaridan asagiya dogru savrulmak",dusmek
"yikilmak  asagiya dogru hareket",dusmek
"bir konu hakkinda zihinden muhakeme yapmak",dusunmek
"bir sonucu bulmak icin bilgileri incelemek",dusunmek
"zihnin icinde bulunan fikirler",dusunmek
"aklindan gecirmek",dusunmek
"evin ve ofisin odalarini ayirmaya rarar",duvar
"bir sesi isitmek",duymak
"kulaklarin isitme eylemi",duymak
"ses olarak algilamak",duymak
"isitmek",duymak
"bozuk bir yaziyi onarmak",duzenlemek
"Organize etmek  toparlamak",duzenlemek
"karmasikligi anlasilir hale getirmek",duzenlemek
"hazir duruma getirmek",duzenlemek
"Mutlu olmak icin yapilan bir eylem",eglenmek
"Bir aktivite sonucu mutlu olmak",eglenmek
"keyif almak",eglenmek
"neseli zaman gecirmek",eglenmek
"Baskasina ait verilere sahip olmak",ele_gecirmek
"yakalamak",ele_gecirmek
"bir seye sahip olmak",ele_gecirmek
"sahip olmak",ele_gecirmek
"uzun yillar yapilan calismadan sonra is birakmak",emekli_olmak
"gecmis calismalar nedeniyle calismayi birakmak",emekli_olmak
"calisma hayatinin tamamlanmasi",emekli_olmak
"isten ayrilmak",emekli_olmak
"birine bir isi yapmasi icin komut vermek",emretmek
"dediginin hemen olmasi durumu",emretmek
"bir seyi zorunlu tutmak",emretmek
"buyurmak",emretmek
"herhangi bir konuda huzursuz hissetmek",endise_etmek
"Kaygilanmak",endise_etmek
"bir durum karsisinda uzulmek",endise_etmek
"",endise_etmek
"yapilacak bir eyleme karsi koymak",engel_olmak
"Bir seyin gerceklesmemesi icin caba gostermek",engel_olmak
"bir isin gerceklesmesini onlemek",engel_olmak
"onlemek",engel_olmak
"yapilacak bir eyleme karsi koymak",engellemek
"olmasini durdurmak",engellemek
"bir seyin yapilmasina engel olmak",engellemek
"onlemek",engellemek
"yapilmasi gereken isi zamaninda yapmamak",ertelemek
"bir kisinin bir isi yapmamasini onlemek",ertelemek
"bir ise gecerli bir sebep olmaksizin baslamamak",ertelemek
"daha sonraya birakmak",ertelemek
"Herhangi bir eylemle birinin ilgisini cekmek",etkilemek
"begendirmek",etkilemek
"bir kimse ya da nesneyi etki altina almak",etkilemek
"",etkilemek
"barinmak icin konut kiralamak",ev_tutmak
"yasamak icin ortam bulmak",ev_tutmak
"bir yerde ev kiralamak",ev_tutmak
"",ev_tutmak
"Sevgiliye es olmasi icin yapilan teklif",evlenme_teklif_etmek
"Kanun icinde birliktelik teklifi.",evlenme_teklif_etmek
"bir kisinin kadina olan baglilik sozunu dile getirmesi",evlenme_teklif_etmek
"",evlenme_teklif_etmek
"sevdigin kisiyle aile olmak",evlenmek
"nikah esliginde sozlu beyan",evlenmek
"iki kisinin dini  hukuki torelere uygun sekilde bir araya gelmesidir.",evlenmek
"aile kurmak",evlenmek
"okunan bir bilgiyi zihinden soylemek",ezberlemek
"akilda tutmak",ezberlemek
"herhangi bir sozu  metni  davranisi eksiksiz akilda tutmak",ezberlemek
"akilda tutmak",ezberlemek
"bir olayin bilincine varmak",farketmek
"varligindan yeni haberdar olmak",farketmek
"bir seyi anlamak  sezmek",farketmek
"anlamak  sezmek",farketmek
"bir olayin gerceklesme ihtimalini dusunmek",farzetmek
"oyle var saymak",farzetmek
"bir olayin ve durumun hayali gerceklestigini varsaymak",farzetmek
"varsaymak",farzetmek
"bir anlasmayi sonlandirmak",feshetmek
"iptal etmek",feshetmek
"bir sozlesmeyi gecersiz kilmak  kaldirmak",feshetmek
"caymak  gecersiz kilmak",feshetmek
"bir kagidin kopyasini uretmek",fotokopi_cekmek
"kopyalamak",fotokopi_cekmek
"bir sayfanin kopyasini cekmek",fotokopi_cekmek
"kopyalamak",fotokopi_cekmek
"Bir aracta hareket halindeyken hiz yavaslatmak",fren_yapmak
"ani durmak",fren_yapmak
"tasitin hizini kesmek ya da durmak",fren_yapmak
"",fren_yapmak
"bir yere vaktinden sonra gitmek",gec_kalmak
"bir yere yetisememek",gec_kalmak
"belirlenmis ya da olmasi gereken zamandan daha sonraya kalmak",gec_kalmak
"zamaninda davranmamak  sonraya kalmak",gec_kalmak
"bir yere vaktinden sonra gitmek",gecikmek
"vaktinden sonra varicagini soylemek",gecikmek
"biri isin bitmesine veya bulusmaya gec kalmak",gecikmek
"",gecikmek
"vakit doldurmak",gecirmek
"ugurlamak",gecirmek
"bir seyi bir yerden oteki yana goturmek.",gecirmek
"bir yere goturmek",gecirmek
"bir dersten basarili sayilmak",gecmek
"yuksek puan almak",gecmek
"bir yerden baska bir yere gitmek",gecmek
"yer degistirmek",gecmek
"bir konuda bilgi seviyesini artirmak",gelismek
"ilerleme gostermek",gelismek
"canlilarin serpilip buyumesi ve boy atip yetismesi",gelismek
"buyumek  yetismek",gelismek
"bir konuda bir kisinin bilgi seviyesini artirmak",gelistirmek
"islevini arttirmak",gelistirmek
"bir canlinin gelismesini saglamak",gelistirmek
"",gelistirmek
"bir yere varmak",gelmek
"ortamda yeni bulunmak",gelmek
"bir yerden bir yere varmak  ulasmak",gelmek
"bir yere varmak",gelmek
"yerine gelmek",gerceklesmek
"Bir durumun olmasi  sonuca ulasmasi",gerceklesmek
"bir olayin (projenin) gercek durumuna gelmesi",gerceklesmek
"yerine gelmek  olusmak",gerceklesmek
"bir eylemi yerine getirmek",gerceklestirmek
"bir hayalin yapilma durumu",gerceklestirmek
"gerceklesmesini saglamak  gercek durumuna getirmek",gerceklestirmek
"yapmak  uygulamak",gerceklestirmek
"bir seyin olabilmesine bagli bulunmak",gerekmek
"İhtiyac duymak",gerekmek
"bir seyin olabilmesi  yapilabilmesi ya da gerceklesmesi onun olmasina bagli bulunmak",gerekmek
"alinan bir urunu iade etmek",geri_vermek
"alinani ilk konumuna dondurme ",geri_vermek
"bir seyi aldigi yere ya da kimseye vermek.",geri_vermek
"iade etmek",geri_vermek
"bir malzemenin gelmesini saglamak",getirmek
"tasimak ",getirmek
"bir seyin gelmesini saglamak",getirmek
"bir seyi ustunde bulundurmak",getirmek
"eglenmek hava almak icin bir yere gitmek",gezmek
"bakinarak yurumek",gezmek
"bir yerde dolasmak  yurumek",gezmek
"eglenmek  bir yerde dolasmak",gezmek
"disaridan iceriye  gecmek",girmek
"bir konumdan baska konuma yer degistirme",girmek
"bir yerde disadiran iceri gecmek",girmek
"gecmek",girmek
"Bir yerden farkli bir yere ulasmak",gitmek
"bir yere haraket etmek",gitmek
"Bir yere ulasmak",gitmek
"bir yone dogru yonelmek",gitmek
"bir noktadan baska bir noktaya varmak ",gitmek
"Elbiseleri vucuda yerlestirmek",giyinmek
"bir seyleri ustune gecirmek",giyinmek
"ustune bir sey gecirmek",giyinmek
"insanlarin vucutlarina giydikleri kiyafet",giyinmek
"Giysi degistirmek  uzerine giymek",giyinmek
"herhangi bir kiyafeti ustumuze almak.",giyinmek
"Elbiseleri vucuda yerlestirmek",giymek
"bir seyleri ustune gecirmek",giymek
"ustune bir sey gecirmek",giymek
"kiyafet giymek",giymek
"kiyafeti ustune gecirmek",giymek
"bir kiyafeti vucuduna gecirmek",giymek
"Bir gercegi ortmek",gizlemek
"bir seyi saklamak",gizlemek
"baskasi bilsin istememek",gizlemek
"bilinmemesini saglamak",gizlemek
"Gorunmesini engellemek",gizlemek
"bir esyayi veya eylemi baska insanlarin gormesini engellemek",gizlemek
"Bir noktadan bir noktaya gitmek",gocmek
"baska bir yere gitmek",gocmek
"temelli ayrilmak",gocmek
"uzaklara gitmek",gocmek
"Yasadigi yerden ayrilmak",gocmek
"bir yerlesim yerinden baska bir yerlesim yerine tasinmak.",gocmek
"Bir nesneyi iletmek",gondermek
"bir seyi baskasina yollamak",gondermek
"transfer etmek",gondermek
"birseyi yollamak",gondermek
"bir yere yollamak  yolcu etmek  ugurlamak",gondermek
"bir esyayi baska birinin eline ulasmasi icin yola cikarmak.",gondermek
"Goz organinin aldigi sinyalleri beyine iletmesi",gormek
"farketmek",gormek
"etrafi anlamak",gormek
"gozle bir yere bakmak",gormek
"gozun gormesi bir seyin varligini secmek",gormek
"esyalara degen isigin goz merceginden gecerek beyinde goruntu olusturmasi",gormek
"Baskasinin kisiyi gormesi",gorunmek
"dikkat cekmek",gorunmek
"kisa sureli gozukmek",gorunmek
"meydanda olmak",gorunmek
